author,papers_with_chris,total_papers,theme
"Manning, A.",2,2,Predators & invasives
"Marsh, H.",2,2,Threatened species & conservation
"Martin, J. M.",2,2,Predators & invasives
"Martinson, H. M.",2,2,Vegetation & plant ecology
"McGregor, I. S.",2,2,Predators & invasives
"McLachlan-Troup, T. A.",2,2,Predators & invasives
"McLean, S.",2,2,Predators & invasives
"McNaught, G. H.",2,2,Dasyurids & marsupials
"Meathrel, C. E.",2,2,Predators & invasives
"Meisuria, N. Y.",2,2,Dasyurids & marsupials
"Melbourne, B.",2,2,Vegetation & plant ecology
"Milstead, W. B.",2,2,Arid zone ecology
"Mitchell, N.",2,2,Predators & invasives
"Monadjem, A.",2,2,Other
"Morrant, D. S.",2,2,Predators & invasives
"Mortensen, B.",2,2,Vegetation & plant ecology
"Myers, C.",2,2,Predators & invasives
"Müller-Schwarze, D.",2,2,Predators & invasives
"Nankivell, A.",2,2,Threatened species & conservation
"Ohlert, T.",2,2,Vegetation & plant ecology
"Old, J.",2,2,Dasyurids & marsupials
"Page, M.",2,2,Predators & invasives
"Parnaby, H. E.",2,2,Dasyurids & marsupials
"Pascual, J.",2,2,Vegetation & plant ecology
"Paton, D.",2,2,Threatened species & conservation
"Polis, G. A.",2,2,Arid zone ecology
"Possingham, H. P.",2,2,Threatened species & conservation
"Prevedello, J. A.",2,2,Dasyurids & marsupials
"Previtali, M. A.",2,2,Arid zone ecology
"Purcell, B. V.",2,2,Predators & invasives
"Radford, I. J.",2,2,Predators & invasives
"Redford, K. H.",2,2,Predators & invasives
"Rendall, A. R.",2,2,Predators & invasives
"Reside, A. E.",2,2,Threatened species & conservation
"Rich, M.",2,2,Predators & invasives
"Richardson, L. A.",2,2,Predators & invasives
"Richter, M.",2,2,Arid zone ecology
"Ringma, J.",2,2,Predators & invasives
"Roberson, L.",2,2,Threatened species & conservation
"Robin, L.",2,2,Arid zone ecology
"Robinson, A. C.",2,2,Threatened species & conservation
"Sabaté, S.",2,2,Arid zone ecology
"Salo, P.",2,2,Predators & invasives
"Saltré, F.",2,2,Predators & invasives
"Sankaran, M.",2,2,Vegetation & plant ecology
